😀	grand sourire
👨🏻	homme peau 1
👨🏼	homme peau 2
👨🏽	homme peau 3
👨🏾	homme peau 4
👨🏿	homme peau 5
🧔	homme a barbe
🧔🏻	homme a barbe peau 1
🧔🏼	homme a barbe peau 2
🧔🏽	homme a barbe peau 3
🧔🏾	homme a barbe peau 4
🧔🏿	homme a barbe peau 5
👨‍🦰	homme avec les cheveux roux
👨🏻‍🦰	homme avec les cheveux roux peau 1
👨🏼‍🦰	homme avec les cheveux roux peau 2
👨🏽‍🦰	homme avec les cheveux roux peau 3
👨🏾‍🦰	homme avec les cheveux roux peau 4
👨🏿‍🦰	homme avec les cheveux roux peau 5
👨‍🦱	homme avec les cheveux boucles
👨🏻‍🦱	homme avec les cheveux boucles peau 1
👨🏼‍🦱	homme avec les cheveux boucles peau 2
👨🏽‍🦱	homme avec les cheveux boucles peau 3
👨🏾‍🦱	homme avec les cheveux boucles peau 4
👨🏿‍🦱	homme avec les cheveux boucles peau 5
👨‍🦳	homme aux cheveux blancs
👨🏻‍🦳	homme aux cheveux blancs peau 1
👨🏼‍🦳	homme aux cheveux blancs peau 2
👨🏽‍🦳	homme aux cheveux blancs peau 3
👨🏾‍🦳	homme aux cheveux blancs peau 4
👨🏿‍🦳	homme aux cheveux blancs peau 5
👨‍🦲	homme avec une tete chauve
👨🏻‍🦲	homme avec une tete chauve peau 1
👨🏼‍🦲	homme avec une tete chauve peau 2
👨🏽‍🦲	homme avec une tete chauve peau 3
👨🏾‍🦲	homme avec une tete chauve peau 4
👨🏿‍🦲	homme avec une tete chauve peau 5
👩	femme
👩🏻	femme peau 1
👩🏼	femme peau 2
👩🏽	femme peau 3
👩🏾	femme peau 4
👩🏿	femme peau 5
👩‍🦰	femme avec les cheveux roux
👩🏻‍🦰	femme avec les cheveux roux peau 1
👩🏼‍🦰	femme avec les cheveux roux peau 2
👩🏽‍🦰	femme avec les cheveux roux peau 3
👩🏾‍🦰	femme avec les cheveux roux peau 4
👩🏿‍🦰	femme avec les cheveux roux peau 5
🧑‍🦰	adulte%e2%80%af cheveux roux
🧑🏻‍🦰	adulte%e2%80%af peau claire et cheveux roux
🧑🏼‍🦰	adulte%e2%80%af peau moyennement claire et cheveux roux
